제품명,링크,가격,평점,등록일,스펙
로보락 S7 Plus,http://prod.danawa.com/info/?pcode=15140549&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"947,000원",4.8,2021.09.,"로봇청소기 / 흡입+걸레겸용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 흡입력: 2500Pa / 사용시간(개당): 3시간 / 충전시간: 3시간40분 / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 물걸레자동리프팅 / 음성안내 / [스테이션] 자동먼지비움 / [부가] 먼지통용량: 0.47L / 물통용량: 0.3L / 색상: 화이트 / 무게: 4.7kg / 음파진동물걸레 / 크기(가로x세로x깊이): 353x96.5x350mm"
에코백스 디봇 오즈모 T9,http://prod.danawa.com/info/?pcode=13863530&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"778,500원",4.8,2021.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] ToF센서 / 장애물인식센서 / 추락방지센서 / [성능] 흡입력: 3000Pa / 사용시간(개당): 3시간 / 충전시간: 6시간 / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / 카펫인지 / 자동충전 / [스테이션] 자동먼지비움 / 먼지용량: 2.5L / [부가] 먼지통용량: 0.42L / 물통용량: 0.18L / 색상: 화이트 / 아로마캡슐디퓨저 / 크기(가로x세로x깊이): 353x93.6x353mm"
삼성전자 비스포크 제트 봇 VR30T85514,http://prod.danawa.com/info/?pcode=16421258&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"538,150원",4.7,2022.02.,"로봇청소기 / 흡입전용 / [센서] LDS라이다센서 / 추락방지센서 / [성능] 인버터모터 / 사용시간(개당): 1시간30분 / 충전시간: 4시간 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인, 스마트페어링 / 스마트맵핑 / 카펫인지 / 자동충전 / 음성인식 / [스테이션] 자동먼지비움 / 먼지용량: 2L / [부가] 먼지통용량: 0.3L / 색상: 미스티화이트 / 무게: 3.4kg / 크기(가로x세로x깊이): 350x99.8x350mm"
삼성전자 비스포크 제트 봇 AI VR50T95936,http://prod.danawa.com/info/?pcode=16421759&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,157,820원",4.9,2022.02.,"로봇청소기 / 흡입전용 / [센서] 카메라1개 / LDS라이다센서 / 3D센서 / 추락방지센서 / [성능] 디지털인버터모터 / 사용시간(개당): 1시간30분 / 충전시간: 3시간30분 / [기능] 스마트폰제어: 원격제어, 금지구역, 이동동선확인, 실시간영상, 스마트페어링 / 스마트맵핑 / 카펫인지 / 자동충전 / 음성인식 / [스테이션] 자동먼지비움 / 먼지용량: 2L / [부가] 먼지통용량: 0.2L / 청정스테이션: 2L / 색상: 미스티화이트 / 쿼드코아R18 / 크기(가로x세로x깊이): 305x136.5x320mm"
샤오미 미지아 STYTJ06ZHM,http://prod.danawa.com/info/?pcode=15663542&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"585,640원",4.6,2021.11.,"로봇청소기 / 흡입+걸레겸용 (회전식) / [센서] LDS라이다센서 / [성능] 흡입력: 3000Pa / [기능] 스마트폰제어: 원격제어, 금지구역 / 스마트맵핑 / UV살균 / [스테이션] 자동걸레세척 / 바람건조 / 정수용량: 4L / [부가] 먼지통용량: 0.45L / 크기(가로x세로x깊이): 343x106x332mm"
샤오미 HUTT DDC55,http://prod.danawa.com/info/?pcode=11534015&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"135,080원",4.7,2020.07.,"로봇청소기 / 유리청소 / [센서] 장애물인식센서 / 추락방지센서 / [성능] BLDC모터 / 흡입력: 3800Pa / 사용시간(개당): 20분 / 충전시간: 2시간20분 / 소음: 65dB / [기능] 리모컨 / 낙하방지로프 / [부가] 색상: 화이트, 그레이 / 무게: 1.14kg / 크기(가로x세로x깊이): 290x135x85mm"
로보락 S7 MaxV Plus,http://prod.danawa.com/info/?pcode=16613417&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"1,259,000원",4.9,2022.04.,"로봇청소기 / 흡입+걸레겸용 / [센서] 카메라2개 / LDS라이다센서 / 3D센서 / 장애물인식센서 / [성능] 흡입력: 5100Pa / 사용시간(개당): 3시간 / 충전시간: 3시간40분 / 소음: 67dB / [기능] 스마트폰제어: 원격제어, 금지구역, 다층맵핑지원, 이동동선확인, 실시간영상, 3D맵핑 / 스마트맵핑 / 문턱등반 / 카펫인지 / 자동충전 / 자기위치메모리 / 물걸레자동리프팅 / 음성안내 / 음성인식 / [스테이션] 자동먼지비움 / 먼지용량: 1.5L / [부가] 먼지통용량: 0.47L / 물통용량: 0.2L / 색상: 블랙, 화이트 / 무게: 4.7kg / LED라이트 / 음파진동물걸레 / 크기(가로x세로x깊이): 353x96.5x350mm"
LG전자 오브제컬렉션 코드제로 ThinQ M9 MO971,http://prod.danawa.com/info/?pcode=16149812&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"511,000원",4.8,2022.01.,"로봇청소기 / 걸레전용 / [센서] 카메라2개 (상,하) / ToF센서 / 장애물인식센서 / 범핑센서 / [성능] 사용시간(개당): 1시간40분 / 충전시간: 3시간 / 소음: 44dB / [기능] 스마트폰제어: 금지구역, 실시간영상 / 스마트맵핑 / 자동충전 / 리모컨 / 물분사 / [부가] 물통용량: 0.3L / 색상: 카밍베이지 / 무게: 2.3kg / 마이존 / 크기(가로x세로x깊이): 280x89x280mm"
에브리봇 엣지,http://prod.danawa.com/info/?pcode=7535440&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"237,050원",4.8,2019.03.,로봇청소기 / 걸레전용 / [센서] 장애물인식센서 / 추락방지센서 / 조도센서 / [성능] 사용시간(개당): 1시간40분 / 충전시간: 2시간30분 / [기능] 리모컨 / [부가] 무게: 1.6kg / 핸디청소 / 크기(가로x세로x깊이): 327x136x165mm
LG전자 오브제컬렉션 코드제로 ThinQ R9 RO971,http://prod.danawa.com/info/?pcode=14531015&keyword=%EB%A1%9C%EB%B4%87+%EC%B2%AD%EC%86%8C%EA%B8%B0&cate=103744,"807,030원",4.8,2021.06.,"로봇청소기 / 흡입전용 / [센서] 카메라1개 / 3D센서 / 추락방지센서 / 범핑센서 / [성능] 스마트인버터모터 / 사용시간(개당): 1시간 / 충전시간: 4시간 / 5단계여과 / [기능] 스마트폰제어: 원격제어, 금지구역, 실시간영상, 스마트페어링 / 스마트맵핑 / 문턱등반 / 카펫인지 / 음성안내 / 음성인식 / 리모컨 / [부가] 색상: 카밍베이지 / 무게: 4.2kg / 64비트쿼드코어CPU / 크기(가로x세로x깊이): 286x143x330mm"
