title,comment,score,writer,date
키드,정말로 훌륭하다  이영화에 슬픔 즐거움 다 들어있네,10,xx41****,14.03.11
키드,웃음 속에 묻어있는 페이소스,7,ykdi****,14.01.28
키드,찰리채플린 정말 존경해요,10,dgw0****,13.12.23
키드,와 대단하다 진짜..너무 재밌고 감동적이게 봤어요 짱짱  꼭 봐요!!,10,blac****,13.11.24
키드,어떻게 다운받아서 보냐요?,1,fnzk****,13.11.17
키드,너무  옛날꺼지만  저시대에  봤으면  엄청 재미있었을  영화,8,sunp****,13.11.16
키드,감동적이고 따뜻한 영화,10,mara****,13.10.14
키드,이사람은 영화를 만드는게아니라 예술을만든다 우린 예술을본것이다 그러므로 이사람의역사는 여전하게 유명하다. 그뿐이다,10,a690****,13.09.29
키드,고아원으로 끌려가는 의붓아들한테 뽀뽀하는 씬 너무 슬펐다ㅜㅜ 꼭 보셈! 아니 두번 보셈!!,10,kgwz****,13.09.17
키드,사랑합니다 채플린.,10,nnnu****,13.07.30
키드,채플린의 영화를 사랑하게 된 동기,10,outb****,13.06.12
키드,즐거움과 진지함 두마리 토끼 다잡네. 위대해요,10,suns****,13.05.24
키드,"재미 있네요~ 중간중간에는 감동적인 장면도 있고, 볼만해요",10,yobi****,13.05.24
키드,따뜻해요,10,week****,13.05.24
키드,정말최고였습니다. 그의영화는 그를닮아 모든것이 살아있습니다.,10,song****,13.05.16
키드,희극속에 숨겨진 비극.. 채플린은 천재,10,kjjh****,13.05.13
키드,걍 최고,10,fnql****,13.04.12
키드,인생은 가까이서보면 비극이고 멀리서보면 희극이다. 채플린의 영화의 전반적인 주제가 잘 담겨있는 어구. 채플린의 영화를 보는 내내 미소가 끊이지 않지만 가슴한구석이 아려온다. 이런게 우리내 인생이겠지..,9,dlrb****,13.02.07
키드,왜나는 찰리채플린의 영화만보면 1초도 눈을 떼지 못할까???,10,ldj6****,12.11.25
키드,찰리채플린의 가닥이 잡혀가는 과도기,6,rd72****,12.10.16
키드,내용이 짧아서 조금 아쉬워요~ ^^,9,shn0****,12.08.17
키드,어제 보았던 어이없는 배틀쉽보다 훨씬 재미있었다,9,46to****,12.04.21
키드,역시 찰스 채플린. 대단한 인물이다. 어쩌면 그는 천재가 아니었을까..,10,yujs****,12.01.27
키드,역시 채플린,8,jjh8****,12.01.12
키드,멋지다,9,dubl****,12.01.03
키드,아이 연기쵝오 너무 귀여움 바로 소장 시티라이트와 더불어 명작,10,ultr****,11.12.17
키드,무성영화라서 영화의 느낌을 더 어필할수 있었던 영화 좋다좋아,10,woor****,11.12.05
키드,1920년대에 이런 영화가 있었다니..놀랍다,10,eaho****,11.11.27
키드,sja woaldlTek.,10,todl****,11.11.24
키드,무성영화의 매력을 가르쳐준 영화. 1921년작이라는 것을 생각하면 믿기질 않는다.,10,ilha****,11.10.27
키드,잼섯어요!~~~~,10,knp0****,11.07.15
키드,그 1920년대의 이 영화를 지금봐도 공감되다니 놀랍지않나요. 여러분,10,sjy4****,11.07.14
키드,무성영화라서재미없을줄알았는데 진심짱ㅜ,10,dab1****,11.07.13
키드,결말이 조금 아쉬웠지만.. 채플린 연기중 최고인듯.,9,ldy6****,11.06.13
키드,채플린 영화중에 최고인것 같아요.. 감동 ㅜㅜ,10,phil****,11.06.13
키드,더이상 말이필요없지 ^^,10,0tae****,11.05.22
키드,감동적~~ 무성영화의 재미를 느낀다,9,park****,11.05.08
키드,옛날영화치고는 괜찮은편,7,real****,11.04.06
키드,흑백무성영화라 좀 답답함..,5,gpwl****,11.03.30
키드,진짜 감동적이면서도 사람이 이렇게 재능이 많을 수가 있는지 궁금할정도.....,10,dlsk****,11.03.20
키드,이거 봤는데 . 완전 재밌었어요ㅎ,10,jane****,10.10.30
키드,아주 흥미진진하다.,10,ywsu****,10.09.21
키드,쵝오,10,tall****,10.09.11
키드,와 짱이다,10,jiwo****,10.08.20
키드,눈물겨운 어린 시절의 추억이 만들어낸 자화상적 이야기,10,hyuk****,10.08.11
키드,희극의제왕 찰리채플린!,8,powe****,10.06.01
키드,최고,10,wjdg****,10.05.03
키드,와!최고다,10,doct****,10.04.03
키드,가난하고 구멍난 삶이지만 그 속에 웃음과 사랑이 있구나 !,10,sylo****,10.03.19
키드,젊은 채플린의 모습과 미국의 어두운 단면을 볼 수 있음.,8,jjyn****,10.03.03
키드,근 백년이 지났음에도 작품성이 느껴진다,10,sile****,10.01.09
키드,오마이갓,10,arso****,10.01.05
키드,천재의 떡잎은 역시나 남달랐다...,9,mygr****,10.01.01
키드,얼마전에보게되었는데..감동이더군요ㅋㅋ재미와감동을함께느낄수있엇던영화였습니다.,10,kopa****,09.10.29
키드,채플린 최고의 영화가 아닐까. 아름답고 유쾌하고 아련하다.,10,paus****,09.08.13
키드,아기가 정말 대단해 싸움도 잘하고 글고 재미있어요,10,1004****,09.05.30
키드,대박이지ㅡㅡ 찰리 채플린은 분명 천재다.,10,acac****,09.04.21
키드,그 시대에 봤다면 모를까..;;;다들 난리네 ㅎㅎ,5,drd1****,09.01.20
키드,나를 눈물과 감동에 빠지게 만든 50분간의 기적..,10,pola****,09.01.15
키드,시대의 역작.............................,10,jsa7****,08.12.28
키드,눈물과 웃음이 함께하는 영화다. 무성이지만 가슴 한편에 따뜻하게 와닫는다,10,shfo****,08.11.07
키드,재키쿠건 법은 괜히 생긴게 아니다.,10,myri****,08.10.05
키드,무성영화에서는 유성영화에서 볼수없는 독특한 매력이 있다.,10,adel****,08.09.28
키드,역시 찰리채플린과 아이의 연기력이 가상하고 멋지다,10,gytl****,08.02.23
키드,아이의 연기가 인상 깊은 영화.,8,dela****,08.02.13
키드,웃음과 눈물을 동시에 짜내게 만드는 찰리와 잭키(환상의 콤비),10,heod****,08.02.12
키드,익살스럽지만 눈물 짓게 만든 찰리 채플린의 연기...,8,egyp****,08.01.30
키드,분명 희극인데 가슴이 짠하다. 불쌍하고 슬프기도 하고... 해피엔딩이라서 다행이야,9,teo0****,08.01.03
키드,희극속에 담겨있는 비극..그래서 더 애절하다..,10,ansu****,07.11.26
키드,덩치큰형을 3번이낚은게 너무 웃겻다 ㅋㅋ 하지만 가슴따뜻한이야기,10,stou****,07.10.29
키드,역시 채플린..........,10,hhow****,07.08.23
키드,감동적 ㅜㅜ,10,kuma****,07.08.12
키드,절대잊혀지지가않아,10,cach****,07.08.08
키드,감동과 웃음..,10,lyk8****,07.07.27
키드,이 영화는 채플린 보다는 아이의 연기를 보는 재미,8,okyk****,07.05.03
키드,"달콤, 세콤, 유쾌한 悲劇!",9,oklo****,07.04.23
키드,가장 잘 어울리고 익살맞은 콤비. 천국장면의 재치가 맘에 든다.,8,hadl****,07.03.28
키드,찰리채플린 답다,10,kcje****,07.02.01
키드,채플린의 천재성에 All in,10,azir****,06.12.19
키드,"채플린의 첫 헐리웃 진출작, 후속작들에 못지 않은 감동이",8,sioh****,06.12.13
키드,"찰리 채플린, 그 재능의 발견.",8,gold****,06.11.16
키드,보고 나면 가슴 찡해지는 작품 채플린은 역시 최고구나,7,okjo****,06.11.04
키드,Perpect..,10,cree****,06.10.17
키드,걸작은 시간을 뛰어넘는다...,10,reki****,06.09.23
키드,글쎄..이런 영화는 별로 라서..,8,qufs****,06.08.20
키드,영화사에 길이남아 영구히 지구인의 감성에 호소할 시대적 걸작,10,jals****,06.06.06
키드,단편에다무성 흑백이여도 난 이영화가좋다,10,jing****,06.05.19
키드,내가 처음 접한 찰리 채플린의 영화,10,won1****,06.02.07
키드,잭키쿠건(아이)의 연기는 일품이다.,10,wndh****,05.10.12
키드,신파도 맛깔스러운 채플린.,8,tjsd****,05.09.24
키드,그 당시의 시대적 상황을 웃음과 감동으로 잘 표현한 수작,10,hmr3****,04.10.17
키드,감동적인 드라마.,10,pby1****,04.10.10
키드,웃음으로 포장한 가슴 아픈 비극,10,litt****,04.09.16
키드,따뜻한 아빠 채플린과 귀여운 아이,9,sjzs****,03.12.26
