제목,URL
[파이썬(Python) 1] 프로그래밍 기본 과정개요,https://www.hpetraining.co.kr/popup/lectureInfo.do?lecm_num=183
청소년 대상 파이썬(Python) 활용 교육의 효과에 대한 메타분석,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002653647
처음 배우는 프로그래밍 (w.파이썬) - 부스트코스,https://m.boostcourse.org/cs114
"파이썬패드 - 파이썬 프로그래밍, 온라인에서 코딩하고 실행하고 ...",https://www.pythonpad.co/
직장인을 위한 파이썬 기초 - 탈잉,https://taling.me/vod/view/31196
파이썬 기초 문법 - [정보통신기술용어해설],http://www.ktword.co.kr/test/view/view.php?m_temp1=6066
파이썬마스터 시험접수 - KAIT 자격검정,https://www.ihd.or.kr/introducesubject9.do
2장 파이썬 기초문법 - 데이터 사이언스 스쿨,https://datascienceschool.net/01%20python/02.00%202%EC%9E%A5%20%ED%8C%8C%EC%9D%B4%EC%8D%AC%20%EA%B8%B0%EC%B4%88%20%EB%AC%B8%EB%B2%95.html
파이썬 코딩의 기술 - GitHub,https://github.com/gilbutITbook/006764
Python Korea | Facebook,https://ko-kr.facebook.com/groups/pythonkorea/
Python 을 사용한 에디터 스크립팅 | 언리얼 엔진 문서 - Unreal ...,https://docs.unrealengine.com/5.0/ko/scripting-the-unreal-editor-using-python
파이썬 머신러닝 완벽 가이드 - 인프런 | 강의,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C
[논문]KoNLPy: 쉽고 간결한 한국어 정보처리 파이썬 패키지,https://scienceon.kisti.re.kr/srch/selectPORSrchArticle.do?cn=NPAP12013363&dbt=NPAP
파이썬 언어를 사랑하는 글로벌 대기업 TOP10 - 코딩월드뉴스,https://www.codingworldnews.com/news/articleView.html?idxno=9613
파이썬 머신러닝 완벽 가이드 (개정판) | 위키북스,https://wikibook.co.kr/pymldg-rev/
"전문가를 위한 파이썬: 간단하고, 명료하고, 효율적인 파이썬 프로그래밍 (파이썬 3 버전 기반)",https://books.google.co.kr/books?id=NJpIDwAAQBAJ&pg=PA865&lpg=PA865&dq=%ED%8C%8C%EC%9D%B4%EC%8D%AC&source=bl&ots=emXXfIKIZs&sig=ACfU3U2lZSHCp63s2_eSiY75FZ6_syr06w&hl=ko&sa=X&ved=2ahUKEwiYpqfr9o34AhUXDN4KHVIFCF04RhDoAXoECAUQAw
나의 첫 파이썬(2판): 전 세계가 선택한 프로젝트 기반 프로그래밍 입문서,https://books.google.co.kr/books?id=AoX4DwAAQBAJ&pg=PA27&lpg=PA27&dq=%ED%8C%8C%EC%9D%B4%EC%8D%AC&source=bl&ots=lGy-sIDFmE&sig=ACfU3U2g2WLtwgpF80B1kLdaDYREcZnG1g&hl=ko&sa=X&ved=2ahUKEwiYpqfr9o34AhUXDN4KHVIFCF04RhDoAXoECAQQAw
효율적 개발로 이끄는 파이썬 실천 기술,https://books.google.co.kr/books?id=dQ06EAAAQBAJ&pg=PR24&lpg=PR24&dq=%ED%8C%8C%EC%9D%B4%EC%8D%AC&source=bl&ots=BM9gKvXlnt&sig=ACfU3U12qshzTvm5L_Z4zYbuEumEtcGy6A&hl=ko&sa=X&ved=2ahUKEwiYpqfr9o34AhUXDN4KHVIFCF04RhDoAXoECAIQAw
"IT CookBook, 파이썬 for Beginner(2판)",https://books.google.co.kr/books?id=N8XyDwAAQBAJ&pg=PA25&lpg=PA25&dq=%ED%8C%8C%EC%9D%B4%EC%8D%AC&source=bl&ots=z8HefMz6cn&sig=ACfU3U2vvZUrBlA7fV5aNLIoIxGNderOLg&hl=ko&sa=X&ved=2ahUKEwiYpqfr9o34AhUXDN4KHVIFCF04RhDoAXoECAMQAw
파이썬 - 이솦 | EBS 소프트웨어,https://www.ebssw.kr/site/search/totalSearchView.do?totalSearchKeyword=%ED%8C%8C%EC%9D%B4%EC%8D%AC
파이썬에서 데이터 타입 확인하기,https://www.daleseo.com/python-class-type-isinstance/
파이썬 3.11 베타버전 공개...최대 60% 속도 향상 - 지디넷코리아,https://zdnet.co.kr/view/?no=20220519171652
[Python] 1. 파이썬 기본 문법 - Rebro의 코딩 일기장,https://rebro.kr/117
전문가를 위한 파이썬(FLUENT PYTHON) - 롯데ON,https://www.lotteon.com/p/product/LO1054198142?sitmNo=LO1054198142_1054198143&ch_no=100173&ch_dtl_no=1000548
파이썬(Python) 튜터 찾기,https://www.superprof.co.kr/lessons/python/south-korea/
파이썬 - 이솦 | EBS 소프트웨어,https://www.ebssw.kr/site/search/totalSearchView.do?totalSearchKeyword=%ED%8C%8C%EC%9D%B4%EC%8D%AC
파이썬 3.11 베타버전 공개...최대 60% 속도 향상 - 지디넷코리아,https://zdnet.co.kr/view/?no=20220519171652
[Python] 1. 파이썬 기본 문법 - Rebro의 코딩 일기장,https://rebro.kr/117
아이티동스쿨 [HD]Python(파이썬) 프로그래밍 제대로 배우기 ...,https://www.itsdong.com/it/m/courseorder_detail.php?uid=241
Think Python - flowdas,https://www.flowdas.com/thinkpython/index.html
파이썬 강좌 – 어노테이션 – 수월하게 프로그래밍하기,https://elvanov.com/1631
전문가를 위한 파이썬(FLUENT PYTHON) - 롯데ON,https://www.lotteon.com/p/product/LO1054198142?sitmNo=LO1054198142_1054198143&ch_no=100173&ch_dtl_no=1000548
파이썬(Python) 튜터 찾기,https://www.superprof.co.kr/lessons/python/south-korea/
